--------------------------------------
 mls 133 level ccm2
--------------------------------------
180.554993	day of year
0.000000	latitude
level p(mb) t(k) h2ommr(g/g) o3mmr(g/g) cldcvr cldlwp(g/m2)
 73 1.6199e+02 2.1154e+02 3.2987e-05 1.6850e-07 1.0000e+00 1.0532e+00
 72 1.6369e+02 2.1198e+02 3.4581e-05 1.6703e-07 1.0000e+00 1.0429e+00
 71 1.6540e+02 2.1241e+02 3.6996e-05 1.6559e-07 1.0000e+00 1.0662e+00
 70 1.6713e+02 2.1285e+02 3.8345e-05 1.6418e-07 1.0000e+00 1.0982e+00
 69 1.6887e+02 2.1329e+02 4.0859e-05 1.6279e-07 1.0000e+00 1.0114e+00
 68 1.7063e+02 2.1372e+02 4.2509e-05 1.6143e-07 1.0000e+00 1.0870e+00
 67 1.7241e+02 2.1416e+02 4.5354e-05 1.6008e-07 1.0000e+00 1.1447e+00
 66 1.7420e+02 2.1460e+02 4.7869e-05 1.5874e-07 1.0000e+00 1.0983e+00
 65 1.7601e+02 2.1504e+02 5.0146e-05 1.5742e-07 1.0000e+00 1.1153e+00
 64 1.7784e+02 2.1549e+02 5.2502e-05 1.5610e-07 1.0000e+00 1.2712e+00
 63 1.7969e+02 2.1593e+02 5.5458e-05 1.5477e-07 1.0000e+00 1.2366e+00
 62 1.8155e+02 2.1637e+02 5.8487e-05 1.5344e-07 1.0000e+00 1.2437e+00
 61 1.8343e+02 2.1682e+02 6.1666e-05 1.5209e-07 1.0000e+00 1.2639e+00
 60 1.8533e+02 2.1726e+02 6.4703e-05 1.5073e-07 1.0000e+00 1.5454e+00
 59 1.8725e+02 2.1771e+02 6.8255e-05 1.4933e-07 1.0000e+00 1.4738e+00
 58 1.8918e+02 2.1816e+02 7.1908e-05 1.4791e-07 1.0000e+00 1.3683e+00
 57 1.9114e+02 2.1861e+02 7.6170e-05 1.4644e-07 1.0000e+00 1.5530e+00
 56 1.9311e+02 2.1906e+02 8.0308e-05 1.4494e-07 1.0000e+00 1.8680e+00
 55 1.9510e+02 2.1951e+02 8.4894e-05 1.4340e-07 1.0000e+00 1.7765e+00
 54 1.9711e+02 2.1996e+02 8.9336e-05 1.4184e-07 1.0000e+00 1.6430e+00
 53 1.9913e+02 2.2041e+02 9.4466e-05 1.4025e-07 1.0000e+00 1.9556e+00
 52 2.0118e+02 2.2087e+02 1.0021e-04 1.3865e-07 1.0000e+00 1.9336e+00
 51 2.0324e+02 2.2132e+02 1.0582e-04 1.3705e-07 1.0000e+00 1.7392e+00
 50 2.0533e+02 2.2177e+02 1.1161e-04 1.3546e-07 1.0000e+00 1.9436e+00
 49 2.0743e+02 2.2223e+02 1.1862e-04 1.3388e-07 1.0000e+00 2.0019e+00
 48 2.0956e+02 2.2268e+02 1.2528e-04 1.3232e-07 1.0000e+00 1.7489e+00
 47 2.1170e+02 2.2314e+02 1.3205e-04 1.3079e-07 1.0000e+00 1.9883e+00
 46 2.1387e+02 2.2360e+02 1.4017e-04 1.2930e-07 1.0000e+00 2.0187e+00
 45 2.1605e+02 2.2406e+02 1.4781e-04 1.2784e-07 1.0000e+00 1.7137e+00
 44 2.1825e+02 2.2452e+02 1.5557e-04 1.2641e-07 1.0000e+00 1.6722e+00
 43 2.2048e+02 2.2497e+02 1.6506e-04 1.2500e-07 1.0000e+00 2.0245e+00
 42 2.2272e+02 2.2543e+02 1.7411e-04 1.2361e-07 1.0000e+00 1.8715e+00
 41 2.2499e+02 2.2589e+02 1.8301e-04 1.2224e-07 1.0000e+00 1.5916e+00
 40 2.2728e+02 2.2636e+02 1.9203e-04 1.2089e-07 1.0000e+00 1.6772e+00
 39 2.2959e+02 2.2682e+02 2.0266e-04 1.1954e-07 1.0000e+00 1.7449e+00
 38 2.3192e+02 2.2728e+02 2.1267e-04 1.1820e-07 1.0000e+00 1.5016e+00
 37 2.3427e+02 2.2775e+02 2.2230e-04 1.1686e-07 1.0000e+00 1.2547e+00
 36 2.3664e+02 2.2821e+02 2.3277e-04 1.1553e-07 1.0000e+00 1.4726e+00
 35 2.3904e+02 2.2868e+02 2.4380e-04 1.1421e-07 1.0000e+00 1.2619e+00
 34 2.4145e+02 2.2915e+02 2.5441e-04 1.1290e-07 1.0000e+00 1.0285e+00
 33 2.4389e+02 2.2962e+02 2.6507e-04 1.1161e-07 1.0000e+00 1.0223e+00
 32 2.4635e+02 2.3009e+02 2.7666e-04 1.1033e-07 1.0000e+00 9.6904e-01
 31 2.4884e+02 2.3056e+02 2.8804e-04 1.0908e-07 1.0000e+00 7.9508e-01
 30 2.5135e+02 2.3104e+02 2.9944e-04 1.0784e-07 1.0000e+00 6.4060e-01
 29 2.5388e+02 2.3151e+02 3.1130e-04 1.0663e-07 1.0000e+00 6.2737e-01
 28 2.5643e+02 2.3199e+02 3.2365e-04 1.0544e-07 1.0000e+00 5.6300e-01
 27 2.5901e+02 2.3247e+02 3.3609e-04 1.0428e-07 1.0000e+00 4.6661e-01
 26 2.6161e+02 2.3295e+02 3.4879e-04 1.0314e-07 1.0000e+00 3.8278e-01
 25 2.6423e+02 2.3343e+02 3.6185e-04 1.0202e-07 1.0000e+00 3.4233e-01
 24 2.6688e+02 2.3391e+02 3.7540e-04 1.0093e-07 1.0000e+00 3.4044e-01
 23 2.6955e+02 2.3439e+02 3.8922e-04 9.9862e-08 1.0000e+00 3.0054e-01
 22 2.7225e+02 2.3487e+02 4.0343e-04 9.8817e-08 1.0000e+00 2.5031e-01
 21 2.7497e+02 2.3536e+02 4.1800e-04 9.7794e-08 1.0000e+00 2.1175e-01
 20 2.7771e+02 2.3584e+02 4.3304e-04 9.6794e-08 1.0000e+00 2.1181e-01
 19 2.8048e+02 2.3633e+02 4.4848e-04 9.5817e-08 1.0000e+00 1.9261e-01
 18 2.8328e+02 2.3682e+02 4.6434e-04 9.4863e-08 1.0000e+00 1.5798e-01
 17 2.8610e+02 2.3730e+02 4.8045e-04 9.3930e-08 1.0000e+00 1.2615e-01
 16 2.8895e+02 2.3779e+02 4.9555e-04 9.3020e-08 1.0000e+00 1.1991e-01
 15 2.9182e+02 2.3828e+02 5.2553e-04 9.2130e-08 1.0000e+00 1.0688e-01
 14 2.9472e+02 2.3876e+02 5.7652e-04 9.1261e-08 1.0000e+00 8.6021e-02
 13 2.9765e+02 2.3922e+02 6.1478e-04 9.0413e-08 1.0000e+00 6.4503e-02
 12 3.0060e+02 2.3968e+02 6.3752e-04 8.9584e-08 1.0000e+00 6.4744e-02
 11 3.0357e+02 2.4015e+02 6.6346e-04 8.8774e-08 1.0000e+00 4.7655e-02
 10 3.1000e+02 2.4114e+02 1.8580e-04 8.7110e-08 0.0000e+00 0.0000e+00
 9 4.1000e+02 2.5478e+02 6.5690e-04 7.1690e-08 0.0000e+00 0.0000e+00
 8 5.1000e+02 2.6594e+02 1.5180e-03 6.5170e-08 0.0000e+00 0.0000e+00
 7 6.1000e+02 2.7546e+02 2.9300e-03 6.0120e-08 0.0000e+00 0.0000e+00
 6 7.1000e+02 2.8337e+02 5.1410e-03 5.8140e-08 0.0000e+00 0.0000e+00
 5 7.9000e+02 2.8766e+02 8.8410e-03 5.5920e-08 0.0000e+00 0.0000e+00
 4 8.7000e+02 2.9212e+02 1.1150e-02 5.3310e-08 0.0000e+00 0.0000e+00
 3 9.5000e+02 2.9664e+02 1.3670e-02 5.0200e-08 0.0000e+00 0.0000e+00
 2 9.9000e+02 2.9879e+02 1.5190e-02 4.8520e-08 0.0000e+00 0.0000e+00
 1 1.0065e+03 2.9966e+02 1.5870e-02 4.7860e-08 0.0000e+00 0.0000e+00
1013.000000
300.000000	surface air temperature
300.000000	ground (skin) temperature
1.000000	surface type flag
0.000000	surface roughness
0.000000	SNOW COVER
0.100000	ASVIS
0.100000	ASNIR
0.100000	AWVIS
0.100000	AWNIR
0.000000	frac strng zen ang srf
