    Data: Real and imaginary indices of refraction of ice at -7 C 
    for the 4.43e-2 to 167 micron range, and indices of ice at 
    -1, -5, -20, and -60 C for the 167 to 8.6e6 micron range.

    Reference:S. G. Warren, Optical constants of ice from the ultraviolet 
    to the microwave, Applied Optics, vol. 23, pgs. 1206-1225, 1984.
    The values here were generated from a program of S. Warren.

    Format: wavenumber (cm-1), wavelength (microns), real and
    imaginary indices of refraction.
    468 values for ice at  -7 C, 4.43e-2 to 167 microns
    62  values for ice at  -1 C, 167 to 8.6e6 microns
    62  values for ice at  -5 C, 167 to 8.6e6 microns
    62  values for ice at -20 C, 167 to 8.6e6 microns
    62  values for ice at -60 C, 167 to 8.6e6 microns
    2x,2(1x,e10.3),2x,1(1x,f6.4),1(1x,e10.3)


    ICE
    Temperature = 266.16 K (-7 C)
    cm-1       microns     real    imaginary
    1.050E+03  9.524E+00   1.2451  4.600E-02
    1.080E+03  9.259E+00   1.2599  4.500E-02
    1.100E+03  9.091E+00   1.2672  4.400E-02
    1.120E+03  8.929E+00   1.2740  4.200E-02
    1.150E+03  8.696E+00   1.2839  4.000E-02
    1.180E+03  8.475E+00   1.2925  3.900E-02
    1.200E+03  8.333E+00   1.2993  3.700E-02
    1.220E+03  8.197E+00   1.3068  3.900E-02
    1.240E+03  8.065E+00   1.3119  4.300E-02
    1.260E+03  7.937E+00   1.3146  4.700E-02
    1.280E+03  7.812E+00   1.3155  5.000E-02
    1.300E+03  7.692E+00   1.3154  5.200E-02
    1.320E+03  7.576E+00   1.3154  5.200E-02
    1.340E+03  7.463E+00   1.3163  5.200E-02
    1.360E+03  7.353E+00   1.3180  5.200E-02
    1.380E+03  7.246E+00   1.3191  5.400E-02
    1.400E+03  7.143E+00   1.3190  5.500E-02
    1.420E+03  7.042E+00   1.3193  5.500E-02
    1.450E+03  6.897E+00   1.3195  5.700E-02
    1.480E+03  6.757E+00   1.3181  5.800E-02
    1.500E+03  6.667E+00   1.3170  5.700E-02
    1.520E+03  6.579E+00   1.3181  5.500E-02
    1.540E+03  6.494E+00   1.3204  5.600E-02
    1.550E+03  6.452E+00   1.3215  5.700E-02
    1.560E+03  6.410E+00   1.3224  5.900E-02
    1.570E+03  6.369E+00   1.3220  6.200E-02
    1.580E+03  6.329E+00   1.3204  6.400E-02
    1.590E+03  6.289E+00   1.3189  6.500E-02
    1.600E+03  6.250E+00   1.3172  6.700E-02
    1.630E+03  6.135E+00   1.3090  7.000E-02
    1.650E+03  6.061E+00   1.3016  6.900E-02
    1.700E+03  5.882E+00   1.2881  5.700E-02
    1.710E+03  5.848E+00   1.2853  5.200E-02
    1.720E+03  5.814E+00   1.2851  4.600E-02
    1.730E+03  5.780E+00   1.2860  4.200E-02
    1.740E+03  5.747E+00   1.2873  3.800E-02
    1.750E+03  5.714E+00   1.2890  3.500E-02
    1.800E+03  5.556E+00   1.2972  2.400E-02
    1.852E+03  5.400E+00   1.3062  1.750E-02
    1.900E+03  5.263E+00   1.3143  1.400E-02
    1.923E+03  5.200E+00   1.3180  1.340E-02
    1.961E+03  5.100E+00   1.3233  1.250E-02
    2.000E+03  5.000E+00   1.3290  1.200E-02
    2.039E+03  4.904E+00   1.3345  1.290E-02
    2.119E+03  4.719E+00   1.3442  1.730E-02
    2.183E+03  4.580E+00   1.3463  2.850E-02
    2.193E+03  4.560E+00   1.3442  3.000E-02
    2.199E+03  4.547E+00   1.3429  2.930E-02
    2.220E+03  4.505E+00   1.3405  2.900E-02
    2.250E+03  4.444E+00   1.3385  2.600E-02
    2.279E+03  4.387E+00   1.3381  2.300E-02
    2.300E+03  4.348E+00   1.3388  2.000E-02
    2.359E+03  4.239E+00   1.3446  1.450E-02
    2.440E+03  4.099E+00   1.3541  1.110E-02
    2.520E+03  3.969E+00   1.3645  9.160E-03
    2.599E+03  3.847E+00   1.3773  6.960E-03
    2.649E+03  3.775E+00   1.3873  6.600E-03
    2.680E+03  3.732E+00   1.3942  6.850E-03
    2.759E+03  3.624E+00   1.4155  8.020E-03
    2.810E+03  3.559E+00   1.4337  1.060E-02
    2.830E+03  3.534E+00   1.4421  1.260E-02
    2.850E+03  3.509E+00   1.4513  1.520E-02
    2.866E+03  3.489E+00   1.4593  1.786E-02
    2.890E+03  3.460E+00   1.4721  2.200E-02
    2.910E+03  3.436E+00   1.4845  2.740E-02
    2.930E+03  3.413E+00   1.4972  3.420E-02
    2.950E+03  3.390E+00   1.5114  4.220E-02
    2.970E+03  3.367E+00   1.5265  5.400E-02
    2.990E+03  3.345E+00   1.5413  6.680E-02
    3.010E+03  3.322E+00   1.5577  8.360E-02
    3.030E+03  3.300E+00   1.5733  1.030E-01
    3.050E+03  3.279E+00   1.5925  1.210E-01
    3.070E+03  3.257E+00   1.6128  1.580E-01
    3.090E+03  3.236E+00   1.6269  1.930E-01
    3.110E+03  3.215E+00   1.6428  2.380E-01
    3.130E+03  3.195E+00   1.6502  3.000E-01
    3.150E+03  3.175E+00   1.6363  3.720E-01
    3.170E+03  3.155E+00   1.5999  4.380E-01
    3.190E+03  3.135E+00   1.5510  4.910E-01
    3.210E+03  3.115E+00   1.4966  5.390E-01
    3.230E+03  3.096E+00   1.4260  5.930E-01
    3.250E+03  3.077E+00   1.3251  6.250E-01
    3.270E+03  3.058E+00   1.2127  6.120E-01
    3.289E+03  3.040E+00   1.1295  5.540E-01
    3.310E+03  3.021E+00   1.0760  4.930E-01
    3.330E+03  3.003E+00   1.0427  4.380E-01
    3.350E+03  2.985E+00   1.0219  3.880E-01
    3.370E+03  2.967E+00   1.0067  3.470E-01
    3.390E+03  2.950E+00    .9917  3.120E-01
    3.409E+03  2.933E+00    .9727  2.760E-01
    3.431E+03  2.915E+00    .9596  2.210E-01
    3.449E+03  2.899E+00    .9650  1.690E-01
    3.470E+03  2.882E+00    .9820  1.270E-01
    3.490E+03  2.865E+00   1.0036  9.230E-02
    3.510E+03  2.849E+00   1.0265  6.800E-02
    3.530E+03  2.833E+00   1.0476  5.200E-02
    3.550E+03  2.817E+00   1.0674  3.800E-02
    3.600E+03  2.778E+00   1.1077  2.000E-02
