    Data: Real and imaginary indices of refraction of ice at -7 C 
    for the 4.43e-2 to 167 micron range, and indices of ice at 
    -1, -5, -20, and -60 C for the 167 to 8.6e6 micron range.

    Reference:S. G. Warren, Optical constants of ice from the ultraviolet 
    to the microwave, Applied Optics, vol. 23, pgs. 1206-1225, 1984.
    The values here were generated from a program of S. Warren.

    Format: wavenumber (cm-1), wavelength (microns), real and
    imaginary indices of refraction.
    468 values for ice at  -7 C, 4.43e-2 to 167 microns
    62  values for ice at  -1 C, 167 to 8.6e6 microns
    62  values for ice at  -5 C, 167 to 8.6e6 microns
    62  values for ice at -20 C, 167 to 8.6e6 microns
    62  values for ice at -60 C, 167 to 8.6e6 microns
    2x,2(1x,e10.3),2x,1(1x,f6.4),1(1x,e10.3)


    ICE
    Temperature = 266.16 K (-7 C)
    cm-1       microns     real    imaginary
    1.170E+05  8.550E-02   1.3216  4.990E-01
    1.209E+05  8.270E-02   1.2732  5.000E-01
    1.250E+05  8.000E-02   1.2384  5.100E-01
    1.290E+05  7.750E-02   1.2004  5.240E-01
    1.332E+05  7.510E-02   1.1575  5.310E-01
    1.355E+05  7.380E-02   1.1313  5.340E-01
    1.372E+05  7.290E-02   1.1120  5.330E-01
    1.412E+05  7.080E-02   1.0674  5.280E-01
    1.451E+05  6.890E-02   1.0233  5.170E-01
    1.493E+05  6.700E-02    .9819  4.920E-01
    1.531E+05  6.530E-02    .9537  4.640E-01
    1.572E+05  6.360E-02    .9309  4.400E-01
    1.613E+05  6.200E-02    .9104  4.160E-01
    1.653E+05  6.050E-02    .8930  3.920E-01
    1.695E+05  5.900E-02    .8776  3.660E-01
    1.733E+05  5.770E-02    .8692  3.400E-01
    1.773E+05  5.640E-02    .8642  3.190E-01
    1.815E+05  5.510E-02    .8609  2.970E-01
    1.855E+05  5.390E-02    .8616  2.790E-01
    1.894E+05  5.280E-02    .8625  2.680E-01
    1.934E+05  5.170E-02    .8605  2.590E-01
    1.976E+05  5.060E-02    .8552  2.500E-01
    2.016E+05  4.960E-02    .8472  2.400E-01
    2.058E+05  4.860E-02    .8404  2.230E-01
    2.096E+05  4.770E-02    .8383  2.080E-01
    2.137E+05  4.680E-02    .8377  1.950E-01
    2.179E+05  4.590E-02    .8373  1.830E-01
    2.217E+05  4.510E-02    .8368  1.730E-01
    2.257E+05  4.430E-02    .8344  1.640E-01

    ICE
    Temperature = 272.16 K (-1 C)
    cm-1       microns     real    imaginary

    1.163E-03  8.600E+06   1.7880  9.700E-03
    2.000E-03  5.000E+06   1.7872  5.780E-03
    5.000E-03  2.000E+06   1.7872  1.950E-03
    1.000E-02  1.000E+06   1.7872  9.700E-04
    1.111E-02  9.000E+05   1.7872  8.200E-04
    1.190E-02  8.400E+05   1.7872  7.420E-04
    1.250E-02  8.000E+05   1.7872  6.920E-04
    1.316E-02  7.600E+05   1.7872  6.470E-04
    1.389E-02  7.200E+05   1.7872  5.950E-04
    1.471E-02  6.800E+05   1.7872  5.500E-04
    1.562E-02  6.400E+05   1.7872  5.000E-04
    1.667E-02  6.000E+05   1.7872  4.620E-04
    2.000E-02  5.000E+05   1.7872  3.820E-04
    2.222E-02  4.500E+05   1.7872  3.460E-04
    2.500E-02  4.000E+05   1.7872  3.150E-04
    2.632E-02  3.800E+05   1.7872  3.050E-04
    2.857E-02  3.500E+05   1.7872  2.890E-04
    3.125E-02  3.200E+05   1.7872  2.740E-04
    3.448E-02  2.900E+05   1.7872  2.640E-04
    4.000E-02  2.500E+05   1.7872  2.540E-04
    5.000E-02  2.000E+05   1.7872  2.490E-04
    5.556E-02  1.800E+05   1.7872  2.520E-04
    5.882E-02  1.700E+05   1.7872  2.580E-04
    6.250E-02  1.600E+05   1.7872  2.640E-04
    6.667E-02  1.500E+05   1.7872  2.700E-04
    7.143E-02  1.400E+05   1.7872  2.790E-04
    7.692E-02  1.300E+05   1.7872  2.940E-04
    8.333E-02  1.200E+05   1.7872  3.110E-04
    9.009E-02  1.110E+05   1.7872  3.400E-04
    1.111E-01  9.000E+04   1.7872  4.640E-04
    1.429E-01  7.000E+04   1.7871  6.950E-04
    1.667E-01  6.000E+04   1.7871  8.800E-04
    2.000E-01  5.000E+04   1.7870  1.160E-03
    2.222E-01  4.500E+04   1.7870  1.320E-03
    2.500E-01  4.000E+04   1.7869  1.500E-03
    2.857E-01  3.500E+04   1.7868  1.740E-03
    3.125E-01  3.200E+04   1.7866  1.880E-03
    5.000E-01  2.000E+04   1.7862  2.340E-03
    1.000E+00  1.000E+04   1.7852  3.240E-03
    2.000E+00  5.000E+03   1.7843  4.490E-03
    4.000E+00  2.500E+03   1.7830  6.210E-03
    7.943E+00  1.259E+03   1.7819  8.560E-03
    1.000E+01  1.000E+03   1.7816  9.540E-03
    1.259E+01  7.943E+02   1.7817  1.060E-02
    1.585E+01  6.310E+02   1.7820  1.180E-02
    1.778E+01  5.623E+02   1.7825  1.250E-02
    1.995E+01  5.012E+02   1.7832  1.320E-02
    2.239E+01  4.467E+02   1.7843  1.390E-02
    2.512E+01  3.981E+02   1.7860  1.470E-02
    2.818E+01  3.548E+02   1.7884  1.550E-02
    3.163E+01  3.162E+02   1.7921  1.620E-02
    3.350E+01  2.985E+02   1.7948  1.665E-02
    3.549E+01  2.818E+02   1.7983  1.760E-02
    3.758E+01  2.661E+02   1.8025  1.960E-02
    3.981E+01  2.512E+02   1.8070  2.240E-02
    4.218E+01  2.371E+02   1.8120  2.620E-02
    4.466E+01  2.239E+02   1.8172  3.140E-02
    4.733E+01  2.113E+02   1.8222  3.790E-02
    5.013E+01  1.995E+02   1.8275  4.560E-02
    5.308E+01  1.884E+02   1.8315  5.700E-02
    5.624E+01  1.778E+02   1.8326  6.900E-02
    5.988E+01  1.670E+02   1.8296  8.300E-02

    ICE
    Temperature = 268.16 K (-5 C)
    cm-1       microns     real    imaginary

    1.163E-03  8.600E+06   1.7872  5.600E-03
    2.000E-03  5.000E+06   1.7865  3.550E-03
    5.000E-03  2.000E+06   1.7865  1.280E-03
    1.000E-02  1.000E+06   1.7865  6.780E-04
    1.111E-02  9.000E+05   1.7865  5.860E-04
    1.190E-02  8.400E+05   1.7865  5.400E-04
    1.250E-02  8.000E+05   1.7865  5.080E-04
    1.316E-02  7.600E+05   1.7865  4.760E-04
    1.389E-02  7.200E+05   1.7865  4.450E-04
    1.471E-02  6.800E+05   1.7865  4.150E-04
    1.562E-02  6.400E+05   1.7865  3.830E-04
    1.667E-02  6.000E+05   1.7865  3.560E-04
    2.000E-02  5.000E+05   1.7865  2.860E-04
    2.222E-02  4.500E+05   1.7865  2.600E-04
    2.500E-02  4.000E+05   1.7865  2.390E-04
    2.632E-02  3.800E+05   1.7865  2.320E-04
    2.857E-02  3.500E+05   1.7865  2.250E-04
    3.125E-02  3.200E+05   1.7865  2.200E-04
    3.448E-02  2.900E+05   1.7865  2.170E-04
    4.000E-02  2.500E+05   1.7865  2.160E-04
    5.000E-02  2.000E+05   1.7865  2.200E-04
    5.556E-02  1.800E+05   1.7865  2.250E-04
    5.882E-02  1.700E+05   1.7865  2.280E-04
    6.250E-02  1.600E+05   1.7865  2.300E-04
    6.667E-02  1.500E+05   1.7865  2.360E-04
    7.143E-02  1.400E+05   1.7865  2.440E-04
    7.692E-02  1.300E+05   1.7865  2.520E-04
    8.333E-02  1.200E+05   1.7865  2.700E-04
    9.009E-02  1.110E+05   1.7865  2.960E-04
    1.111E-01  9.000E+04   1.7865  3.840E-04
    1.429E-01  7.000E+04   1.7865  5.200E-04
    1.667E-01  6.000E+04   1.7865  6.300E-04
    2.000E-01  5.000E+04   1.7865  7.660E-04
    2.222E-01  4.500E+04   1.7865  8.500E-04
    2.500E-01  4.000E+04   1.7865  9.480E-04
    2.857E-01  3.500E+04   1.7864  1.060E-03
    3.125E-01  3.200E+04   1.7863  1.140E-03
    5.000E-01  2.000E+04   1.7861  1.490E-03
    1.000E+00  1.000E+04   1.7852  2.220E-03
    2.000E+00  5.000E+03   1.7843  3.300E-03
    4.000E+00  2.500E+03   1.7830  4.910E-03
    7.943E+00  1.259E+03   1.7819  7.270E-03
    1.000E+01  1.000E+03   1.7816  8.290E-03
    1.259E+01  7.943E+02   1.7817  9.460E-03
    1.585E+01  6.310E+02   1.7820  1.080E-02
    1.778E+01  5.623E+02   1.7825  1.150E-02
    1.995E+01  5.012E+02   1.7832  1.230E-02
    2.239E+01  4.467E+02   1.7843  1.310E-02
    2.512E+01  3.981E+02   1.7860  1.400E-02
    2.818E+01  3.548E+02   1.7884  1.500E-02
    3.163E+01  3.162E+02   1.7921  1.600E-02
    3.350E+01  2.985E+02   1.7948  1.665E-02
    3.549E+01  2.818E+02   1.7983  1.760E-02
    3.758E+01  2.661E+02   1.8025  1.960E-02
    3.981E+01  2.512E+02   1.8070  2.240E-02
    4.218E+01  2.371E+02   1.8120  2.620E-02
    4.466E+01  2.239E+02   1.8172  3.140E-02
    4.733E+01  2.113E+02   1.8222  3.790E-02
    5.013E+01  1.995E+02   1.8275  4.560E-02
    5.308E+01  1.884E+02   1.8315  5.700E-02
    5.624E+01  1.778E+02   1.8326  6.900E-02
    5.988E+01  1.670E+02   1.8296  8.300E-02

    ICE
    Temperature = 253.16 K (-20 C)
    cm-1       microns     real    imaginary

    1.163E-03  8.600E+06   1.7845  1.810E-03
    2.000E-03  5.000E+06   1.7840  1.020E-03
    5.000E-03  2.000E+06   1.7837  6.100E-04
    1.000E-02  1.000E+06   1.7837  2.920E-04
    1.111E-02  9.000E+05   1.7837  2.600E-04
    1.190E-02  8.400E+05   1.7837  2.400E-04
    1.250E-02  8.000E+05   1.7837  2.290E-04
    1.316E-02  7.600E+05   1.7837  2.160E-04
    1.389E-02  7.200E+05   1.7837  2.090E-04
    1.471E-02  6.800E+05   1.7837  1.900E-04
    1.562E-02  6.400E+05   1.7837  1.800E-04
    1.667E-02  6.000E+05   1.7837  1.680E-04
    2.000E-02  5.000E+05   1.7837  1.440E-04
    2.222E-02  4.500E+05   1.7837  1.320E-04
    2.500E-02  4.000E+05   1.7837  1.230E-04
    2.632E-02  3.800E+05   1.7837  1.200E-04
    2.857E-02  3.500E+05   1.7837  1.170E-04
    3.125E-02  3.200E+05   1.7837  1.160E-04
    3.448E-02  2.900E+05   1.7837  1.160E-04
    4.000E-02  2.500E+05   1.7837  1.210E-04
    5.000E-02  2.000E+05   1.7837  1.350E-04
    5.556E-02  1.800E+05   1.7837  1.440E-04
    5.882E-02  1.700E+05   1.7837  1.490E-04
    6.250E-02  1.600E+05   1.7837  1.560E-04
    6.667E-02  1.500E+05   1.7837  1.660E-04
    7.143E-02  1.400E+05   1.7837  1.750E-04
    7.692E-02  1.300E+05   1.7837  1.860E-04
    8.333E-02  1.200E+05   1.7837  2.000E-04
    9.009E-02  1.110E+05   1.7837  2.120E-04
    1.111E-01  9.000E+04   1.7837  2.550E-04
    1.429E-01  7.000E+04   1.7838  3.200E-04
    1.667E-01  6.000E+04   1.7839  3.500E-04
    2.000E-01  5.000E+04   1.7840  4.080E-04
    2.222E-01  4.500E+04   1.7840  4.380E-04
    2.500E-01  4.000E+04   1.7840  4.820E-04
    2.857E-01  3.500E+04   1.7840  5.350E-04
    3.125E-01  3.200E+04   1.7840  5.700E-04
    5.000E-01  2.000E+04   1.7839  7.930E-04
    1.000E+00  1.000E+04   1.7838  1.290E-03
    2.000E+00  5.000E+03   1.7831  2.100E-03
    4.000E+00  2.500E+03   1.7822  3.420E-03
    7.943E+00  1.259E+03   1.7816  5.540E-03
    1.000E+01  1.000E+03   1.7814  6.520E-03
    1.259E+01  7.943E+02   1.7816  7.660E-03
    1.585E+01  6.310E+02   1.7820  9.010E-03
    1.778E+01  5.623E+02   1.7825  9.770E-03
    1.995E+01  5.012E+02   1.7832  1.060E-02
    2.239E+01  4.467E+02   1.7843  1.150E-02
    2.512E+01  3.981E+02   1.7860  1.250E-02
    2.818E+01  3.548E+02   1.7884  1.350E-02
    3.163E+01  3.162E+02   1.7921  1.470E-02
    3.350E+01  2.985E+02   1.7948  1.540E-02
    3.549E+01  2.818E+02   1.7983  1.660E-02
    3.758E+01  2.661E+02   1.8025  1.880E-02
    3.981E+01  2.512E+02   1.8070  2.190E-02
    4.218E+01  2.371E+02   1.8120  2.620E-02
    4.466E+01  2.239E+02   1.8172  3.140E-02
    4.733E+01  2.113E+02   1.8222  3.790E-02
    5.013E+01  1.995E+02   1.8275  4.560E-02
    5.308E+01  1.884E+02   1.8315  5.700E-02
    5.624E+01  1.778E+02   1.8326  6.900E-02
    5.988E+01  1.670E+02   1.8296  8.300E-02

    ICE
    Temperature = 213.16 K (-60 C)
    cm-1       microns     real    imaginary

    1.163E-03  8.600E+06   1.7780  1.320E-04
    2.000E-03  5.000E+06   1.7772  8.700E-05
    5.000E-03  2.000E+06   1.7772  4.450E-05
    1.000E-02  1.000E+06   1.7772  2.660E-05
    1.111E-02  9.000E+05   1.7772  2.460E-05
    1.190E-02  8.400E+05   1.7772  2.400E-05
    1.250E-02  8.000E+05   1.7772  2.380E-05
    1.316E-02  7.600E+05   1.7772  2.370E-05
    1.389E-02  7.200E+05   1.7772  2.390E-05
    1.471E-02  6.800E+05   1.7772  2.430E-05
    1.562E-02  6.400E+05   1.7772  2.510E-05
    1.667E-02  6.000E+05   1.7772  2.640E-05
    2.000E-02  5.000E+05   1.7772  3.100E-05
    2.222E-02  4.500E+05   1.7772  3.400E-05
    2.500E-02  4.000E+05   1.7772  3.760E-05
    2.632E-02  3.800E+05   1.7772  3.910E-05
    2.857E-02  3.500E+05   1.7772  4.210E-05
    3.125E-02  3.200E+05   1.7772  4.550E-05
    3.448E-02  2.900E+05   1.7772  4.960E-05
    4.000E-02  2.500E+05   1.7772  5.600E-05
    5.000E-02  2.000E+05   1.7772  6.830E-05
    5.556E-02  1.800E+05   1.7772  7.500E-05
    5.882E-02  1.700E+05   1.7772  7.870E-05
    6.250E-02  1.600E+05   1.7772  8.300E-05
    6.667E-02  1.500E+05   1.7772  8.730E-05
    7.143E-02  1.400E+05   1.7772  9.300E-05
    7.692E-02  1.300E+05   1.7772  9.900E-05
    8.333E-02  1.200E+05   1.7772  1.060E-04
    9.009E-02  1.110E+05   1.7772  1.130E-04
    1.111E-01  9.000E+04   1.7772  1.310E-04
    1.429E-01  7.000E+04   1.7772  1.550E-04
    1.667E-01  6.000E+04   1.7772  1.730E-04
    2.000E-01  5.000E+04   1.7772  1.960E-04
    2.222E-01  4.500E+04   1.7772  2.110E-04
    2.500E-01  4.000E+04   1.7772  2.290E-04
    2.857E-01  3.500E+04   1.7772  2.510E-04
    3.125E-01  3.200E+04   1.7772  2.670E-04
    5.000E-01  2.000E+04   1.7772  3.690E-04
    1.000E+00  1.000E+04   1.7773  5.950E-04
    2.000E+00  5.000E+03   1.7779  9.610E-04
    4.000E+00  2.500E+03   1.7789  1.550E-03
    7.943E+00  1.259E+03   1.7801  2.490E-03
    1.000E+01  1.000E+03   1.7807  2.990E-03
    1.259E+01  7.943E+02   1.7815  3.680E-03
    1.585E+01  6.310E+02   1.7820  4.520E-03
    1.778E+01  5.623E+02   1.7825  5.000E-03
    1.995E+01  5.012E+02   1.7832  5.600E-03
    2.239E+01  4.467E+02   1.7843  6.400E-03
    2.512E+01  3.981E+02   1.7860  7.340E-03
    2.818E+01  3.548E+02   1.7884  8.900E-03
    3.163E+01  3.162E+02   1.7921  1.080E-02
    3.350E+01  2.985E+02   1.7948  1.235E-02
    3.549E+01  2.818E+02   1.7983  1.400E-02
    3.758E+01  2.661E+02   1.8025  1.670E-02
    3.981E+01  2.512E+02   1.8070  1.970E-02
    4.218E+01  2.371E+02   1.8120  2.440E-02
    4.466E+01  2.239E+02   1.8172  2.910E-02
    4.733E+01  2.113E+02   1.8222  3.550E-02
    5.013E+01  1.995E+02   1.8275  4.450E-02
    5.308E+01  1.884E+02   1.8315  5.700E-02
    5.624E+01  1.778E+02   1.8326  6.900E-02
    5.988E+01  1.670E+02   1.8296  8.300E-02

