
  Data: Real and imaginary indices of refraction of H2O-ice, amorphous
  nitric acid solutions, and nitric acid hydrates.
  
  Reference: O. B. Toon, M. A. Tolbert, B. G. Koehler, A. M. Middlebrook,
  and J. Jordan, The infrared optical constants of H2O-ice, amorphous 
  acid solutions, and nitric acid hydrates, J. Geophys. Res., accepted
  for publication, 1994.

  Format: wavenumber(cm-1), real index,imaginary index
   110 lines, BETA NAT film  at 196 K
   133 lines, NAD film at 184 K
   112 lines, ALPHA NAT film at 181 k
   135 lines, NAM film at 179 K
   173 lines, water ice film at 163 K
   120 lines, A NAT film at 153 K
   113 lines, A NAD film at 153 K
   124 lines, A NAM film at 153 K
  2x,f6.1,2x,f5.3,2x,e8.2


  BETA NAT film at 196 K 
   110    2x,f6.1,2x,f5.3,2x,e8.2
   cm-1   n      k
  1234.0  2.319  5.98E-01
  1246.0  2.388  7.93E-01
  1261.0  2.237  1.29E+00
  1269.0  1.932  1.42E+00
  1280.0  1.519  1.35E+00
  1296.0  1.238  9.99E-01
  1300.0  1.221  8.73E-01
  1315.0  1.275  6.29E-01
  1334.0  1.386  4.89E-01
  1358.0  1.499  4.11E-01
  1385.0  1.625  4.17E-01
  1408.0  1.723  4.96E-01
  1427.0  1.768  6.69E-01
  1442.0  1.655  9.17E-01
  1450.0  1.472  1.04E+00
  1454.0  1.326  1.05E+00
  1462.0  1.092  8.88E-01
  1469.0  1.034  6.62E-01
  1477.0  1.062  5.08E-01
  1489.0  1.133  3.76E-01
  1504.0  1.225  2.90E-01
  1531.0  1.334  2.32E-01
  1577.0  1.456  1.93E-01
  1601.0  1.505  1.94E-01
  1639.0  1.586  2.08E-01
  1662.0  1.635  2.59E-01
  1682.0  1.641  3.21E-01
  1705.0  1.608  3.78E-01
  1743.0  1.524  4.06E-01
  1766.0  1.485  3.86E-01
  1859.0  1.440  3.07E-01
  1921.0  1.445  2.66E-01
  2021.0  1.481  2.30E-01
  2102.0  1.502  2.43E-01
  2183.0  1.499  2.70E-01
  2225.0  1.479  2.81E-01
  2272.0  1.452  2.78E-01
  2326.0  1.430  2.52E-01
  2411.0  1.437  2.19E-01
  2476.0  1.446  2.06E-01
  2522.0  1.460  2.05E-01
  2561.0  1.465  2.18E-01
  2650.0  1.445  2.34E-01
  2750.0  1.418  2.35E-01
  2800.0  1.400  2.26E-01
  2912.0  1.380  1.95E-01
  3074.0  1.382  1.58E-01
  3120.0  1.387  1.52E-01
  3167.0  1.393  1.55E-01
  3221.0  1.391  1.74E-01
  3263.0  1.359  1.88E-01
  3321.0  1.324  1.52E-01
  3359.0  1.319  1.28E-01
  3417.0  1.329  9.64E-02
  3437.0  1.336  9.28E-02
  3456.0  1.342  9.48E-02
  3479.0  1.341  1.11E-01
  3494.0  1.317  1.14E-01
  3529.0  1.299  6.99E-02
  3541.0  1.302  5.73E-02
  3564.0  1.312  3.70E-02
  3583.0  1.324  2.59E-02
  3602.0  1.335  1.88E-02
  3629.0  1.349  1.36E-02
  3660.0  1.362  1.05E-02
  3726.0  1.381  8.43E-03
  3753.0  1.387  8.15E-03
  3784.0  1.393  7.16E-03
  3930.0  1.415  6.59E-03
  3980.0  1.420  6.45E-03
  4091.0  1.430  0.00E+00
  4219.0  1.440  0.00E+00
  4381.0  1.450  0.00E+00
  4597.0  1.460  0.00E+00
  4883.0  1.470  0.00E+00
  5276.0  1.480  0.00E+00
  5828.0  1.490  0.00E+00
  6981.0  1.500  0.00E+00

  ALPHA-NAT film at 181 K 
   112    2x,f6.1,2x,f5.3,2x,e8.2
   cm-1   n      k
   482.0  2.171  3.33E-01
   494.0  2.010  5.68E-01
   498.0  1.917  6.04E-01
   501.0  1.825  5.83E-01
   509.0  1.740  4.51E-01
   521.0  1.804  3.54E-01
   532.0  1.843  4.26E-01
   544.0  1.736  4.87E-01
   559.0  1.621  3.44E-01
   571.0  1.649  2.44E-01
   590.0  1.734  1.76E-01
   606.0  1.791  1.76E-01
   621.0  1.834  1.85E-01
   636.0  1.854  1.98E-01
   652.0  1.887  2.02E-01
   663.0  1.929  2.18E-01
   675.0  1.961  2.82E-01
   687.0  1.918  3.46E-01
   694.0  1.895  3.29E-01
   702.0  1.918  3.15E-01
   714.0  1.955  4.08E-01
   721.0  1.891  4.76E-01
   733.0  1.801  4.63E-01
   741.0  1.770  4.26E-01
   748.0  1.777  4.00E-01
   756.0  1.782  4.13E-01
   771.0  1.737  4.43E-01
   783.0  1.687  4.32E-01
   802.0  1.636  3.62E-01
   814.0  1.651  3.34E-01
   818.0  1.652  3.38E-01
   822.0  1.643  3.44E-01
   837.0  1.610  2.93E-01
   860.0  1.630  2.29E-01
   906.0  1.698  1.75E-01
   930.0  1.732  1.76E-01
   957.0  1.756  1.93E-01
   976.0  1.757  2.04E-01
  1007.0  1.767  1.95E-01
  1053.0  1.785  2.13E-01
  1061.0  1.784  2.05E-01
  1119.0  1.811  2.24E-01
  1157.0  1.825  2.20E-01
  1203.0  1.873  2.24E-01
  1242.0  1.937  2.46E-01
  1296.0  2.047  3.19E-01
  1311.0  2.112  3.58E-01
  1334.0  2.253  4.94E-01
  1346.0  2.355  6.30E-01
  1354.0  2.408  8.57E-01
  1365.0  2.202  1.15E+00
  1388.0  1.683  1.31E+00
  1419.0  1.195  9.98E-01
  1458.0  1.117  5.86E-01
  1496.0  1.193  3.53E-01
  1539.0  1.318  2.29E-01
  1581.0  1.435  1.87E-01
  1635.0  1.536  2.34E-01
  1685.0  1.560  3.01E-01
  1716.0  1.544  3.43E-01
  1759.0  1.477  3.78E-01
  1824.0  1.392  3.14E-01
  1882.0  1.375  2.46E-01
  1917.0  1.382  2.06E-01
  1959.0  1.406  1.72E-01
  2009.0  1.438  1.54E-01
  2060.0  1.463  1.49E-01
  2098.0  1.476  1.52E-01
  2148.0  1.483  1.57E-01
  2260.0  1.493  1.54E-01
  2368.0  1.505  1.54E-01
  2411.0  1.503  1.55E-01
  2445.0  1.502  1.49E-01
  2542.0  1.518  1.43E-01
  2630.0  1.535  1.52E-01
  2700.0  1.543  1.68E-01
  2769.0  1.538  1.87E-01
  2947.0  1.521  2.12E-01
  3024.0  1.518  2.20E-01
  3093.0  1.531  2.44E-01
  3143.0  1.535  2.96E-01
  3174.0  1.511  3.49E-01
  3213.0  1.422  3.95E-01
  3224.0  1.387  3.89E-01
  3267.0  1.310  3.30E-01
  3302.0  1.291  2.81E-01
  3352.0  1.284  2.30E-01
  3375.0  1.287  2.13E-01
  3394.0  1.298  2.05E-01
  3402.0  1.303  2.09E-01
  3413.0  1.307  2.26E-01
  3437.0  1.247  2.63E-01
  3460.0  1.180  1.88E-01
  3479.0  1.188  1.29E-01
  3510.0  1.217  7.50E-02
  3548.0  1.256  4.01E-02
  3583.0  1.286  2.38E-02
  3622.0  1.312  1.45E-02
  3664.0  1.335  9.95E-03
  3718.0  1.357  7.87E-03
  3834.0  1.387  5.42E-03
  3899.0  1.399  4.97E-03
  3953.0  1.408  5.01E-03
  4019.0  1.416  0.00E+00
  4254.0  1.439  0.00E+00
  4574.0  1.459  0.00E+00
  4999.0  1.475  0.00E+00
  5103.0  1.477  0.00E+00
  5373.0  1.483  0.00E+00
  5778.0  1.492  0.00E+00
  6503.0  1.500  0.00E+00
  6989.0  1.502  0.00E+00

  NAM film at 179 K 
   135    2x,f6.1,2x,f5.3,2x,e8.2
   cm-1   n      k
   482.0  1.962  4.55E-02
   490.0  1.954  5.00E-02
   501.0  1.950  6.73E-02
   517.0  1.936  7.50E-02
   536.0  1.920  6.35E-02
   567.0  1.942  1.96E-02
   575.0  1.955  2.27E-02
   598.0  1.986  1.21E-02
   606.0  2.001  9.92E-03
   609.0  2.009  7.64E-03
   613.0  2.019  7.64E-03
   621.0  2.039  1.02E-02
   629.0  2.058  1.86E-02
   633.0  2.065  2.07E-02
   644.0  2.100  2.04E-02
   652.0  2.134  2.68E-02
   660.0  2.176  3.74E-02
   663.0  2.202  4.74E-02
   667.0  2.230  6.23E-02
   679.0  2.320  1.32E-01
   683.0  2.365  1.66E-01
   687.0  2.419  2.24E-01
   690.0  2.467  3.27E-01
   702.0  2.237  7.91E-01
   706.0  2.059  7.67E-01
   714.0  1.974  5.68E-01
   717.0  2.005  5.97E-01
   721.0  1.965  7.03E-01
   729.0  1.788  7.03E-01
   737.0  1.516  7.58E-01
   741.0  1.378  5.24E-01
   744.0  1.394  3.07E-01
   748.0  1.475  1.96E-01
   752.0  1.556  1.47E-01
   760.0  1.674  1.20E-01
   764.0  1.719  1.28E-01
   771.0  1.758  1.87E-01
   775.0  1.742  2.13E-01
   779.0  1.714  2.12E-01
   787.0  1.683  1.53E-01
