                                                                        
  Data: Real and imaginary indices of refraction of sulfuric acid       
  solutions at 75 and 90% H2SO4, by weight, plus the standard       
  deviations of the measurements.                  
        Real and imaginary indices of refraction of nitric acid       
  solutions at 68% HNO3, by weight, plus the standard       
  deviations of the measurements.                  
                                                                        
  Reference: E. E. Remsberg, D. Lavery, and B. Crawford, Optical        
  constants for sulfuric and nitric acids, J. Chem. and Engin. Data,    
  vol.19, pgs. 263-255, 1974.                                           
                                                                        
  Format: wavenumber(cm-1), wavelength(microns), imaginary index,       
  imaginary index standard deviation, real index, real index standard   
  deviation, correlation coefficient.
  184 lines at 75% H2SO4                                                
  211 lines at 90% H2SO4                                                
   44 lines at 68% HNO3                                                
  2x,f6.1,2x,f6.3,5(2x,f6.4)                                            
                                                                        
   OPTICAL CONSTANTS FOR 75% AQUEOUS H2SO4                                 
   cm-1    microns    k     sk     n        sn      rho                     
   814.8  12.273   .1640   .0130  1.6900   .0100  -.9770
   812.3  12.311   .1570   .0120  1.6890   .0100  -.9770
   809.8  12.349   .1580   .0120  1.6820   .0110  -.9790
   807.3  12.387   .1620   .0130  1.6740   .0110  -.9800
   804.8  12.425   .1560   .0090  1.6740   .0080  -.9590
   802.0  12.469   .1550   .0090  1.6690   .0080  -.9600
   799.5  12.508   .1580   .0090  1.6610   .0090  -.9630
   797.1  12.545   .1550   .0090  1.6600   .0090  -.9620
   794.3  12.590   .1570   .0090  1.6540   .0090  -.9640
   791.6  12.633   .1570   .0090  1.6480   .0090  -.9660
   788.6  12.681   .1590   .0100  1.6410   .0100  -.9670
   785.1  12.737   .1530   .0090  1.6390   .0100  -.9670
   782.1  12.786   .1530   .0090  1.6360   .0100  -.9680
   779.1  12.835   .1580   .0100  1.6270   .0100  -.9710
   776.2  12.883   .1550   .0100  1.6260   .0100  -.9710
   773.3  12.932   .1580   .0100  1.6200   .0110  -.9720
   770.4  12.980   .1610   .0100  1.6140   .0110  -.9740
   767.2  13.034   .1570   .0090  1.6160   .0090  -.9590
   764.4  13.082   .1580   .0090  1.6100   .0090  -.9600
   761.7  13.129   .1670   .0100  1.5990   .0100  -.9650
   758.9  13.177   .1620   .0090  1.6030   .0100  -.9630
   756.2  13.224   .1660   .0100  1.5970   .0100  -.9650
   753.2  13.277   .1650   .0100  1.5970   .0100  -.9650
   750.6  13.323   .1670   .0100  1.5930   .0110  -.9660
   748.0  13.369   .1700   .0100  1.5880   .0110  -.9670
                                                                        
   OPTICAL CONSTANTS FOR 68% AQUEOUS HNO3                                 
   cm-1    microns    k     sk     n        sn      rho                     
  1087.8   9.193   .1650   .0070  1.4760   .0090  -.9390
  1078.6   9.271   .1620   .0070  1.4740   .0090  -.9390
  1068.8   9.356   .1610   .0070  1.4680   .0090  -.9400
  1057.9   9.453   .1620   .0070  1.4560   .0100  -.9440
  1048.5   9.537   .1700   .0070  1.4440   .0100  -.9490
  1038.4   9.630   .1740   .0080  1.4420   .0110  -.9510
  1029.5   9.713   .1740   .0080  1.4400   .0110  -.9510
  1020.5   9.799   .1740   .0080  1.4320   .0110  -.9530
  1011.6   9.885   .1770   .0080  1.4200   .0120  -.9570
  1002.5   9.975   .1860   .0090  1.4010   .0130  -.9620
   997.7  10.023   .1830   .0090  1.4030   .0130  -.9610
   993.0  10.070   .1950   .0100  1.3880   .0140  -.9650
   987.5  10.127   .2090   .0110  1.3730   .0150  -.9690
   982.9  10.174   .2210   .0120  1.3670   .0150  -.9700
   977.6  10.229   .2400   .0140  1.3640   .0160  -.9710
   972.4  10.284   .2680   .0160  1.3590   .0170  -.9710
   966.1  10.351   .2930   .0260  1.3660   .0260  -.9870
   963.0  10.384   .3130   .0270  1.3860   .0240  -.9850
   958.8  10.430   .3340   .0290  1.4050   .0230  -.9830
   953.9  10.483   .3590   .0310  1.4270   .0210  -.9790
   951.8  10.506   .3650   .0310  1.4410   .0200  -.9770
   949.1  10.536   .3590   .0300  1.4640   .0190  -.9740
   945.0  10.582   .3580   .0290  1.4910   .0170  -.9700
   940.3  10.635   .3270   .0250  1.5310   .0150  -.9650
   936.4  10.679   .3270   .0250  1.5450   .0140  -.9610
   932.5  10.724   .3110   .0230  1.5570   .0130  -.9600
   928.6  10.769   .2810   .0200  1.5770   .0120  -.9580
   924.2  10.820   .2730   .0210  1.5750   .0140  -.9700
   919.8  10.872   .2570   .0190  1.5760   .0140  -.9710
   916.1  10.916   .2400   .0170  1.5780   .0130  -.9710
   911.9  10.966   .2280   .0160  1.5730   .0130  -.9710
   908.3  11.010   .2180   .0140  1.5710   .0130  -.9720
   904.7  11.053   .2110   .0140  1.5650   .0130  -.9730
   901.2  11.096   .2050   .0130  1.5630   .0130  -.9730
   900.1  11.110   .2070   .0140  1.5590   .0130  -.9740
   893.8  11.188   .1990   .0130  1.5490   .0140  -.9750
   888.2  11.259   .1930   .0130  1.5450   .0140  -.9750
   882.7  11.329   .1870   .0100  1.5430   .0110  -.9630
   876.7  11.406   .1820   .0100  1.5380   .0110  -.9640
   871.5  11.474   .1870   .0110  1.5270   .0120  -.9670
   866.3  11.543   .1770   .0100  1.5310   .0120  -.9650
   860.7  11.618   .1850   .0110  1.5170   .0130  -.9690
   855.7  11.686   .1770   .0100  1.5210   .0120  -.9670
   850.3  11.761   .1710   .0100  1.5220   .0120  -.9660

