
  Data: Imaginary indices of refraction for water and ice in
  the 0.67 to 2.5 micron range. 

  Reference: L. Kou, D. Labrie, and P. Chylek, Refractive indices of 
  water and ice in the 0.65 to 2.5 micron range, Applied Optics,
  vol. 32, pgs. 3531-3540, 1993.

  Format: wavenumber (cm-1), wavelength (microns), imaginary index
  of refraction, error (percent)
  147 values from  4000 to  6920 cm-1 (2x,f6.0,1x,f6.4,3(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water, and at -25 C for ice.
  186 values from  6940 to 10640 cm-1 (2x,f6.0,1x,f6.4,2(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water.
  218 values from 10660 to 15000 cm-1 (2x,f6.0,1x,f6.4,1(4x,e10.3,1x,f4.1))
  at 22 C for water.


 		    Water              Water              ICE 
		    22 C               -8 C               -25 C
   cm-1  microns    imaginary  error   imaginary  error   imaginary  error   

   5280. 1.8939     1.100E-03  2.4     8.830E-04  3.2     2.980E-04 10.4
   5300. 1.8868     7.310E-04  2.7     5.910E-04  3.5     2.330E-04  9.9
   5320. 1.8797     4.750E-04  2.8     3.900E-04  3.5     1.870E-04  9.1
   5340. 1.8727     3.210E-04  4.0     2.690E-04  4.9     1.560E-04 10.6
   5360. 1.8657     2.340E-04  3.6     1.980E-04  4.7     1.420E-04 10.4
   5380. 1.8587     1.890E-04  1.9     1.650E-04  2.6     1.330E-04 11.0
   5400. 1.8519     1.640E-04  1.4     1.450E-04  1.9     1.260E-04 11.9
   5420. 1.8450     1.480E-04  1.4     1.340E-04  1.9     1.260E-04 12.3
   5440. 1.8382     1.420E-04  1.3     1.290E-04  1.7     1.230E-04 13.0
   5460. 1.8315     1.370E-04  1.1     1.260E-04  1.3     1.230E-04 12.1
   5480. 1.8248     1.340E-04  1.2     1.250E-04  1.4     1.250E-04 10.9
   5500. 1.8182     1.330E-04  1.4     1.240E-04  1.6     1.260E-04 11.4
   5520. 1.8116     1.320E-04  1.5     1.250E-04  1.6     1.280E-04 10.2
   5540. 1.8051     1.330E-04  1.2     1.260E-04  1.3     1.300E-04  9.8
   5560. 1.7986     1.310E-04  1.2     1.260E-04  1.2     1.310E-04 10.0
   5580. 1.7921     1.310E-04  1.4     1.270E-04  1.5     1.330E-04  9.9
   5600. 1.7857     1.300E-04  1.3     1.270E-04  1.3     1.350E-04  9.3
   5620. 1.7794     1.270E-04  1.5     1.260E-04  1.6     1.370E-04  8.3
   5640. 1.7731     1.230E-04  1.2     1.230E-04  1.2     1.380E-04  8.1
   5660. 1.7668     1.180E-04  1.0     1.190E-04   .8     1.390E-04  8.2
   5680. 1.7606     1.110E-04  1.4     1.140E-04  1.4     1.400E-04  8.0
   5700. 1.7544     1.060E-04  1.1     1.090E-04  1.1     1.420E-04  7.6
   5720. 1.7483     1.010E-04  1.2     1.050E-04  1.2     1.450E-04  7.0
   5740. 1.7422     9.590E-05  1.0     1.010E-04  1.0     1.480E-04  7.0
   5760. 1.7361     9.190E-05  1.1     9.740E-05  1.1     1.490E-04  7.2
   5780. 1.7301     8.870E-05  1.3     9.500E-05  1.3     1.520E-04  6.4
   5800. 1.7241     8.610E-05  1.1     9.300E-05  1.2     1.540E-04  6.5
   5820. 1.7182     8.390E-05  1.0     9.150E-05  1.1     1.590E-04  5.9
   5840. 1.7123     8.190E-05  1.3     9.010E-05  1.5     1.630E-04  5.4
   5860. 1.7065     8.040E-05  1.1     8.940E-05  1.4     1.670E-04  5.5
   5880. 1.7007     7.970E-05  1.2     8.940E-05  1.4     1.720E-04  5.3
   5900. 1.6949     7.890E-05  1.3     8.920E-05  1.5     1.780E-04  4.7
   5920. 1.6892     7.840E-05  1.0     8.930E-05  1.5     1.820E-04  4.8
   5940. 1.6835     7.820E-05  1.1     8.970E-05  1.5     1.870E-04  4.7
   5960. 1.6779     7.790E-05  1.2     9.000E-05  1.6     1.920E-04  4.1
   5980. 1.6722     7.820E-05  1.3     9.080E-05  1.7     1.970E-04  4.2
   6000. 1.6667     7.850E-05  1.4     9.160E-05  1.7     2.050E-04  4.2
   6020. 1.6611     7.910E-05  1.1     9.290E-05  1.7     2.110E-04  3.5
   6010. 1.6556     7.970E-05  1.4     9.400E-05  1.9     2.160E-04  3.5
   6060. 1.6502     8.090E-05  1.1     9.560E-05  1.7     2.230E-04  3.4
   6080. 1.6447     8.200E-05  1.2     9.720E-05  1.7     2.290E-04  3.4
   6100. 1.6393     8.290E-05  1.3     9.860E-05  1.8     2.350E-04  3.5
   6120. 1.6340     8.440E-05  1.2     1.000E-04  1.9     2.400E-04  3.2
   6140. 1.6287     8.630E-05  1.4     1.030E-04  1.9     2.440E-04  3.3
   6160. 1.6234     8.790E-05  1.2     1.050E-04  1.9     2.470E-04  3.2
   6180. 1.6181     9.000E-05  1.1     1.070E-04  1.7     2.490E-04  3.2
   6200. 1.6129     9.230E-05  1.2     1.110E-04  1.9     2.530E-04  2.8
   6220. 1.6077     9.440E-05  1.5     1.130E-04  1.9     2.590E-04  2.9
   6240. 1.6026     9.700E-05  1.0     1.170E-04  1.8     2.660E-04  3.1
   6260. 1.5974     1.000E-04  1.2     1.200E-04  1.8     2.740E-04  2.8
   6280. 1.5924     1.030E-04  1.0     1.240E-04  1.9     2.840E-04  2.8
   6300. 1.5873     1.070E-04  1.2     1.290E-04  1.9     2.970E-04  2.7
   6320. 1.5823     1.110E-04  1.2     1.340E-04  1.9     3.110E-04  2.7
   6340. 1.5773     1.150E-04  1.4     1.390E-04  2.0     3.240E-04  2.5
   6360. 1.5723     1.190E-04  1.0     1.440E-04  2.0     3.420E-04  2.6
   6380. 1.5674     1.240E-04  1.6     1.460E-04  4.1     3.580E-04  2.3
   6400. 1.5625     1.300E-04  1.2     1.540E-04  3.8     3.750E-04  2.2
   6420. 1.5576     1.360E-04  1.4     1.630E-04  4.4     3.920E-04  2.4
   6440. 1.5528     1.440E-04  1.9     1.710E-04  3.8     4.080E-04  2.1
   6460. 1.5480     1.500E-04  1.9     1.810E-04  2.8     4.250E-04  1.8
   6480. 1.5432     1.570E-04  2.3     1.880E-04  3.0     4.370E-04  1.8
