==Reference Solar Irradiance, Rayleigh Scattering, O2 and O3 Xsection==
=============================WMO, 1985, P355-362=======================
spec.  wavelength     irrad.    ray.scat.  O2 Herz.    xs(cm-2) ozone
inte.  range (nm)   (ph/cm2/s)   xs(cm2)    xs(cm2)   T=203K     T=273K
-----------------------------------------------------------------------
 65   382.5 387.5   8.89e+14   1.96e-26   0.00e-00   8.60e-23  4.20e-23 
 66   387.5 392.5   1.14e+15   1.86e-26   0.00e-00   7.46e-23  3.94e-23 
 67   392.5 397.5   9.17e+14   1.76e-26   0.00e-00   6.32e-23  3.68e-23 
 68   397.5 402.5   1.69e+15   1.67e-26   0.00e-00   5.18e-23  3.42e-23 
 69   402.5 407.5   1.70e+15   1.59e-26   0.00e-00   4.05e-23  3.17e-23 
 70   407.5 412.5   1.84e+15   1.51e-26   0.00e-00   2.91e-23  2.91e-23 
 71   412.5 417.5   1.87e+15   1.44e-26   0.00e-00   3.14e-23  3.14e-23 
 72   417.5 422.5   1.95e+15   1.37e-26   0.00e-00   3.99e-23  3.99e-23 
 73   422.5 427.5   1.81e+15   1.30e-26   0.00e-00   6.54e-23  6.54e-23 
 74   427.5 432.5   1.67e+15   1.24e-26   0.00e-00   6.83e-23  6.83e-23 
 75   432.5 437.5   1.98e+15   1.18e-26   0.00e-00   8.66e-23  8.66e-23 
 76   437.5 442.5   2.02e+15   1.13e-26   0.00e-00   1.25e-22  1.25e-22 
 77   442.5 447.5   2.18e+15   1.08e-26   0.00e-00   1.49e-22  1.49e-22 
 78   447.5 452.5   2.36e+15   1.03e-26   0.00e-00   1.71e-22  1.71e-22 
 79   452.5 457.5   2.31e+15   9.85e-27   0.00e-00   2.12e-22  2.12e-22 
 80   457.5 462.5   2.39e+15   9.42e-27   0.00e-00   3.57e-22  3.57e-22 
 81   462.5 467.5   2.38e+15   9.01e-27   0.00e-00   3.68e-22  3.68e-22 
 82   467.5 472.5   2.39e+15   8.63e-27   0.00e-00   4.06e-22  4.06e-22 
 83   472.5 477.5   2.44e+15   8.26e-27   0.00e-00   4.89e-22  4.89e-22 
