Fri, 28 Aug 1998 17:04:39 -0300 (ADT)
File: abs_xsx_H2OH2O_CFT98.txt

These data are (apparently) computed from the fourier smoothed 
data. These data were used to create the actual figures printed
in TGC98. I have never used these data.

    Wavenumber   log(absorption cross-section/10^{-20} cm^2) 
     (cm^{-1}) 
     821.053  -0.494869
     824.060  -0.518891
     827.068  -0.542987
     830.075  -0.567134
     833.083  -0.591312
     836.090  -0.615497
     839.098  -0.639669
     842.105  -0.663805
     845.113  -0.687884
     848.120  -0.711886
     851.128  -0.735789
     854.135  -0.759572
     857.143  -0.783217
     860.150  -0.806703
     863.158  -0.830013
     866.165  -0.853127
     869.173  -0.876030
     872.180  -0.898707
     875.188  -0.921140
     878.195  -0.943319
     881.203  -0.965229
     884.211  -0.986860
     887.218   -1.00820
     890.226   -1.02925
     893.233   -1.04999
     896.241   -1.07041
     899.248   -1.09052
     902.256   -1.11031
     905.263   -1.12977
     908.271   -1.14890
     911.278   -1.16771
     914.286   -1.18619
     917.293   -1.20433
     920.301   -1.22214
     923.308   -1.23962
     926.316   -1.25677
     929.323   -1.27358
     932.331   -1.29006
     935.338   -1.30621
     938.346   -1.32202
     941.353   -1.33749
     944.361   -1.35262
     947.368   -1.36741
     950.376   -1.38185
     953.383   -1.39594
     956.391   -1.40968
     959.398   -1.42304
     962.406   -1.43604
     965.414   -1.44866
     968.421   -1.46090
     971.429   -1.47273
     974.436   -1.48417
     977.444   -1.49518
     980.451   -1.50578
     983.459   -1.51593
     986.466   -1.52565
     989.474   -1.53490
     992.481   -1.54369
     995.489   -1.55200
     998.496   -1.55982
    1001.504   -1.56715
    1004.511   -1.57397
     1007.52   -1.58029
     1010.53   -1.58608
     1013.53   -1.59135
     1016.54   -1.59608
     1019.55   -1.60029
     1022.56   -1.60396
     1025.56   -1.60709
     1028.57   -1.60969
     1031.58   -1.61175
     1034.59   -1.61328
     1037.59   -1.61429
     1040.60   -1.61478
     1043.61   -1.61477
     1046.62   -1.61425
     1049.62   -1.61326
     1052.63   -1.61178
     1055.64   -1.60986
     1058.65   -1.60749
     1061.65   -1.60471
     1064.66   -1.60153
     1067.67   -1.59797
     1070.68   -1.59406
     1073.68   -1.58981
     1076.69   -1.58527
     1079.70   -1.58044
     1082.71   -1.57536
     1085.71   -1.57007
     1088.72   -1.56457
     1091.73   -1.55890
     1094.74   -1.55310
     1097.74   -1.54717
     1100.75   -1.54116
     1103.76   -1.53509
     1106.77   -1.52898
     1109.77   -1.52285
     1112.78   -1.51672
     1115.79   -1.51061
     1118.80   -1.50454
     1121.80   -1.49852
     1124.81   -1.49257
     1127.82   -1.48669
     1130.83   -1.48088
     1133.83   -1.47515
     1136.84   -1.46951
     1139.85   -1.46394
     1142.86   -1.45844
     1145.86   -1.45300
     1148.87   -1.44762
     1151.88   -1.44227
     1154.89   -1.43693
     1157.89   -1.43160
     1160.90   -1.42625
     1163.91   -1.42086
     1166.92   -1.41541
     1169.92   -1.40987
     1172.93   -1.40422
     1175.94   -1.39844
     1178.95   -1.39250
     1181.95   -1.38639
     1184.96   -1.38008
     1187.97   -1.37355
     1190.98   -1.36680
     1193.98   -1.35981
     1196.99   -1.35256
     1200.00   -1.34506
     1203.01   -1.33729
     1206.02   -1.32926
     1209.02   -1.32098
     1212.03   -1.31245
     1215.04   -1.30368
     1218.05   -1.29469
     1221.05   -1.28550
     1224.06   -1.27612
     1227.07   -1.26659
     1230.08   -1.25693
     1233.08   -1.24716
     1236.09   -1.23731
     1239.10   -1.22743
     1242.11   -1.21752
     1245.11   -1.20764
     1248.12   -1.19779
     1251.13   -1.18802
     1254.14   -1.17834
     1257.14   -1.16877
     1260.15   -1.15934
     1263.16   -1.15005
     1266.17   -1.14092
     1269.17   -1.13195
     1272.18   -1.12314
     1275.19   -1.11447
     1278.20   -1.10595
     1281.20   -1.09754
     1284.21   -1.08924
     1287.22   -1.08100
     1290.23   -1.07279
     1293.23   -1.06458
     1296.24   -1.05632
     1299.25   -1.04796
     1302.26   -1.03946
     1305.26   -1.03077
     1308.27   -1.02182
     1311.28   -1.01258
     1314.29   -1.00297
     1317.29  -0.992962
     1320.30  -0.982491
     1323.31  -0.971514
     1326.32  -0.959988
     1329.32  -0.947875
     1332.33  -0.935142
     1335.34  -0.921762
     1338.35  -0.907715
     1341.35  -0.892989
     1344.36  -0.877580
     1347.37  -0.861490
     1350.38  -0.844730
     1353.38  -0.827321
     1356.39  -0.809289
     1359.40  -0.790669
     1362.41  -0.771503
     1365.41  -0.751842
     1368.42  -0.731738
     1371.43  -0.711253
     1374.44  -0.690450
     1377.44  -0.669397
     1380.45  -0.648165
     1383.46  -0.626823
     1386.47  -0.605442
     1389.47  -0.584093
     1392.48  -0.562841
     1395.49  -0.541751
     1398.50  -0.520881
     1401.50  -0.500284
     1404.51  -0.480007
     1407.52  -0.460088
     1410.53  -0.440558
     1413.53  -0.421437
     1416.54  -0.402741
     1419.55  -0.384469
     1422.56  -0.366615
     1425.56  -0.349163
     1428.57  -0.332086
     1431.58  -0.315349
     1434.59  -0.298908
     1437.59  -0.282712
     1440.60  -0.266702
     1443.61  -0.250815
     1446.62  -0.234980
     1449.62  -0.219126
     1452.63  -0.203179
     1455.64  -0.187061
     1458.65  -0.170700
     1461.65  -0.154022
     1464.66  -0.136958
     1467.67  -0.119446
     1470.68   -1.01425E-01
     1473.68   -8.28480E-02
     1476.69   -6.36731E-02
     1479.70   -4.38683E-02
     1482.71   -2.34147E-02
     1485.71   -2.30308E-03
     1488.72    1.94639E-02
     1491.73    4.18690E-02
     1494.74    6.48834E-02
     1497.74    8.84662E-02
     1500.75   0.112562
     1503.76   0.137105
     1506.77   0.162015
     1509.77   0.187204
     1512.78   0.212572
     1515.79   0.238010
     1518.80   0.263402
     1521.80   0.288625
     1524.81   0.313552
     1527.82   0.338051
     1530.83   0.361990
     1533.83   0.385235
     1536.84   0.407655
     1539.85   0.429121
     1542.86   0.449510
     1545.86   0.468703
     1548.87   0.486592
     1551.88   0.503074
     1554.89   0.518059
     1557.89   0.531467
     1560.90   0.543230
     1563.91   0.553294
     1566.92   0.561616
     1569.92   0.568169
     1572.93   0.572938
     1575.94   0.575923
     1578.95   0.577135
     1581.95   0.576602
     1584.96   0.574360
     1587.97   0.570462
     1590.98   0.564965
     1593.98   0.557942
     1596.99   0.549470
     1600.00   0.539637
     1603.01   0.528534
     1606.02   0.516259
     1609.02   0.502912
     1612.03   0.488596
     1615.04   0.473412
     1618.05   0.457465
     1621.05   0.440853
     1624.06   0.423673
     1627.07   0.406020
     1630.08   0.387980
     1633.08   0.369633
     1636.09   0.351057
     1639.10   0.332317
     1642.11   0.313472
     1645.11   0.294576
     1648.12   0.275671
     1651.13   0.256791
     1654.14   0.237965
     1657.14   0.219211
     1660.15   0.200541
     1663.16   0.181960
     1666.17   0.163469
     1669.17   0.145058
     1672.18   0.126719
     1675.19   0.108435
     1678.20    9.01879E-02
     1681.20    7.19569E-02
     1684.21    5.37206E-02
     1687.22    3.54564E-02
     1690.23    1.71424E-02
     1693.23   -1.24358E-03
     1696.24   -1.97202E-02
     1699.25   -3.83057E-02
     1702.26   -5.70134E-02
     1705.26   -7.58552E-02
     1708.27   -9.48382E-02
     1711.28  -0.113967
     1714.29  -0.133240
     1717.29  -0.152654
     1720.30  -0.172201
     1723.31  -0.191869
     1726.32  -0.211643
     1729.32  -0.231504
     1732.33  -0.251430
     1735.34  -0.271399
     1738.35  -0.291385
     1741.35  -0.311362
     1744.36  -0.331303
     1747.37  -0.351182
     1750.38  -0.370971
     1753.38  -0.390645
     1756.39  -0.410182
     1759.40  -0.429560
     1762.41  -0.448761
     1765.41  -0.467770
     1768.42  -0.486573
     1771.43  -0.505163
     1774.44  -0.523536
     1777.44  -0.541691
     1780.45  -0.559631
     1783.46  -0.577364
     1786.47  -0.594901
     1789.47  -0.612256
     1792.48  -0.629446
     1795.49  -0.646494
     1798.50  -0.663419
     1801.50  -0.680247
     1804.51  -0.697005
     1807.52  -0.713718
     1810.53  -0.730414
     1813.53  -0.747120
     1816.54  -0.763859
     1819.55  -0.780657
     1822.56  -0.797535
     1825.56  -0.814514
     1828.57  -0.831609
     1831.58  -0.848834
     1834.59  -0.866198
     1837.59  -0.883708
     1840.60  -0.901365
     1843.61  -0.919167
     1846.62  -0.937107
     1849.62  -0.955175
     1852.63  -0.973357
     1855.64  -0.991635
     1858.65   -1.00999
     1861.65   -1.02839
     1864.66   -1.04682
     1867.67   -1.06524
     1870.68   -1.08362
     1873.68   -1.10194
     1876.69   -1.12015
     1879.70   -1.13824
     1882.71   -1.15616
     1885.71   -1.17389
     1888.72   -1.19139
     1891.73   -1.20864
     1894.74   -1.22562
     1897.74   -1.24231
     1900.75   -1.25868
     1903.76   -1.27473
     1906.77   -1.29043
     1909.77   -1.30580
     1912.78   -1.32081
     1915.79   -1.33547
     1918.80   -1.34979
     1921.80   -1.36378
     1924.81   -1.37743
     1927.82   -1.39078
     1930.83   -1.40382
     1933.83   -1.41658
     1936.84   -1.42908
     1939.85   -1.44134
     1942.86   -1.45337
     1945.86   -1.46519
     1948.87   -1.47683
     1951.88   -1.48829
     1954.89   -1.49958
     1957.89   -1.51073
     1960.90   -1.52174
     1963.91   -1.53260
     1966.92   -1.54332
     1969.92   -1.55390
     1972.93   -1.56431
     1975.94   -1.57456
     1978.95   -1.58461
     1981.95   -1.59444
     1984.96   -1.60402
     1987.97   -1.61331
     1990.98   -1.62228
     1993.98   -1.63089
     1996.99   -1.63907
     2000.00   -1.64679
     2003.01   -1.65399
     2006.02   -1.66062
     2009.02   -1.66662
     2012.03   -1.67193
     2015.04   -1.67650
     2018.05   -1.68028
     2021.05   -1.68321
     2024.06   -1.68525
     2027.07   -1.68634
     2030.08   -1.68646
     2033.08   -1.68557
     2036.09   -1.68363
     2039.10   -1.68064
     2042.11   -1.67656
     2045.11   -1.67140
     2048.12   -1.66516
     2051.13   -1.65784
     2054.14   -1.64947
     2057.14   -1.64008
     2060.15   -1.62970
     2063.16   -1.61837
     2066.17   -1.60616
     2069.17   -1.59311
     2072.18   -1.57930
     2075.19   -1.56481
     2078.20   -1.54971
     2081.20   -1.53410
     2084.21   -1.51807
     2087.22   -1.50171
     2090.23   -1.48512
     2093.23   -1.46841
     2096.24   -1.45167
     2099.25   -1.43501
     2102.26   -1.41854
     2105.26   -1.40234
     2108.27   -1.38652
     2111.28   -1.37117
     2114.29   -1.35637
     2117.29   -1.34222
     2120.30   -1.32878
     2123.31   -1.31612
     2126.32   -1.30431
     2129.32   -1.29339
     2132.33   -1.28341
     2135.34   -1.27441
     2138.35   -1.26641
     2141.35   -1.25943
     2144.36   -1.25347
     2147.37   -1.24853
     2150.38   -1.24459
     2153.38   -1.24165
     2156.39   -1.23966
     2159.40   -1.23860
     2162.41   -1.23841
     2165.41   -1.23906
     2168.42   -1.24047
     2171.43   -1.24259
     2174.44   -1.24536
     2177.44   -1.24870
     2180.45   -1.25254
     2183.46   -1.25681
     2186.47   -1.26143
     2189.47   -1.26633
     2192.48   -1.27145
     2195.49   -1.27670
     2198.50   -1.28202
     2201.50   -1.28734
     2204.51   -1.29261
     2207.52   -1.29777
     2210.53   -1.30276
     2213.53   -1.30756
     2216.54   -1.31211
     2219.55   -1.31639
     2222.56   -1.32037
     2225.56   -1.32405
     2228.57   -1.32739
     2231.58   -1.33042
     2234.59   -1.33313
     2237.59   -1.33552
     2240.60   -1.33763
     2243.61   -1.33946
     2246.62   -1.34106
     2249.62   -1.34246
     2252.63   -1.34369
     2255.64   -1.34480
     2258.65   -1.34583
     2261.65   -1.34684
     2264.66   -1.34787
     2267.67   -1.34898
     2270.68   -1.35022
     2273.68   -1.35164
     2276.69   -1.35330
     2279.70   -1.35524
     2282.71   -1.35751
     2285.71   -1.36017
     2288.72   -1.36325
     2291.73   -1.36679
     2294.74   -1.37082
     2297.74   -1.37538
     2300.75   -1.38050
     2303.76   -1.38618
     2306.77   -1.39246
     2309.77   -1.39933
     2312.78   -1.40681
     2315.79   -1.41489
     2318.80   -1.42357
     2321.80   -1.43283
     2324.81   -1.44267
     2327.82   -1.45306
     2330.83   -1.46397
     2333.83   -1.47539
     2336.84   -1.48727
     2339.85   -1.49959
     2342.86   -1.51230
     2345.86   -1.52538
     2348.87   -1.53877
     2351.88   -1.55243
     2354.89   -1.56633
     2357.89   -1.58042
     2360.90   -1.59466
     2363.91   -1.60900
     2366.92   -1.62341
     2369.92   -1.63784
     2372.93   -1.65227
     2375.94   -1.66664
     2378.95   -1.68094
     2381.95   -1.69513
     2384.96   -1.70917
     2387.97   -1.72306
     2390.98   -1.73675
     2393.98   -1.75024
     2396.99   -1.76350
     2400.00   -1.77653
     2403.01   -1.78931
     2406.02   -1.80182
     2409.02   -1.81407
     2412.03   -1.82605
     2415.04   -1.83775
     2418.05   -1.84918
     2421.05   -1.86033
     2424.06   -1.87120
