This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 1 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 0.5 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added last line of flux = 49984 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
384	3.730E-04
385	3.750E-04
386	3.769E-04
387	3.788E-04
388	3.807E-04
389	3.827E-04
390	3.846E-04
391	3.866E-04
392	3.885E-04
393	3.905E-04
394	3.926E-04
395	3.945E-04
396	3.965E-04
397	3.985E-04
398	4.005E-04
399	4.025E-04
400	4.045E-04
401	4.065E-04
402	4.085E-04
403	4.105E-04
404	4.125E-04
405	4.146E-04
406	4.166E-04
407	4.187E-04
408	4.207E-04
409	4.228E-04
410	4.248E-04
411	4.268E-04
412	4.289E-04
413	4.310E-04
414	4.330E-04
415	4.351E-04
416	4.372E-04
417	4.393E-04
418	4.414E-04
419	4.435E-04
420	4.456E-04
421	4.477E-04
422	4.498E-04
423	4.519E-04
424	4.540E-04
425	4.561E-04
426	4.583E-04
427	4.604E-04
428	4.626E-04
429	4.648E-04
430	4.669E-04
431	4.690E-04
432	4.712E-04
433	4.733E-04
434	4.755E-04
435	4.777E-04
436	4.798E-04
437	4.820E-04
438	4.842E-04
439	4.865E-04
440	4.887E-04
441	4.909E-04
442	4.931E-04
443	4.953E-04
444	4.975E-04
445	4.997E-04
446	5.019E-04
447	5.041E-04
448	5.063E-04
449	5.086E-04
450	5.109E-04
451	5.132E-04
452	5.154E-04
453	5.177E-04
454	5.199E-04
455	5.222E-04
456	5.244E-04
457	5.267E-04
458	5.290E-04
459	5.313E-04
460	5.336E-04
461	5.359E-04
462	5.382E-04
463	5.405E-04
464	5.428E-04
465	5.451E-04
466	5.475E-04
467	5.498E-04
468	5.521E-04
469	5.545E-04
470	5.569E-04
471	5.592E-04
472	5.615E-04
473	5.639E-04
474	5.662E-04
475	5.686E-04
476	5.709E-04
477	5.733E-04
478	5.757E-04
479	5.782E-04
480	5.806E-04
481	5.829E-04
482	5.853E-04
483	5.877E-04
484	5.901E-04
485	5.925E-04
486	5.949E-04
487	5.974E-04
488	5.999E-04
489	6.023E-04
490	6.047E-04
491	6.072E-04
492	6.096E-04
493	6.120E-04
494	6.145E-04
495	6.169E-04
496	6.194E-04
497	6.219E-04
498	6.244E-04
499	6.270E-04
500	6.296E-04
501	6.321E-04
502	6.346E-04
503	6.371E-04
504	6.396E-04
505	6.421E-04
506	6.446E-04
507	6.472E-04
508	6.497E-04
509	6.523E-04
510	6.548E-04
511	6.573E-04
512	6.598E-04
513	6.624E-04
514	6.650E-04
515	6.676E-04
516	6.701E-04
517	6.727E-04
518	6.752E-04
519	6.778E-04
520	6.805E-04
521	6.831E-04
522	6.856E-04
523	6.882E-04
524	6.905E-04
525	6.929E-04
526	6.958E-04
527	6.987E-04
528	7.013E-04
529	7.039E-04
530	7.066E-04
531	7.092E-04
532	7.118E-04
533	7.145E-04
534	7.171E-04
535	7.198E-04
536	7.225E-04
537	7.251E-04
538	7.278E-04
539	7.305E-04
540	7.332E-04
541	7.359E-04
542	7.385E-04
543	7.412E-04
544	7.439E-04
545	7.466E-04
546	7.494E-04
547	7.520E-04
548	7.548E-04
549	7.575E-04
550	7.602E-04
551	7.630E-04
552	7.658E-04
553	7.685E-04
554	7.712E-04
555	7.739E-04
556	7.767E-04
557	7.795E-04
558	7.823E-04
559	7.850E-04
560	7.878E-04
561	7.906E-04
562	7.933E-04
563	7.961E-04
564	7.989E-04
565	8.018E-04
566	8.045E-04
567	8.073E-04
568	8.101E-04
569	8.129E-04
570	8.158E-04
571	8.187E-04
572	8.215E-04
573	8.243E-04
574	8.271E-04
575	8.300E-04
576	8.329E-04
577	8.357E-04
578	8.386E-04
579	8.414E-04
580	8.443E-04
581	8.472E-04
582	8.501E-04
583	8.529E-04
584	8.558E-04
585	8.587E-04
586	8.616E-04
587	8.645E-04
588	8.675E-04
589	8.704E-04
590	8.733E-04
591	8.762E-04
592	8.790E-04
593	8.820E-04
594	8.850E-04
595	8.879E-04
596	8.909E-04
597	8.938E-04
598	8.968E-04
599	8.997E-04
600	9.027E-04
601	9.057E-04
602	9.086E-04
603	9.116E-04
604	9.147E-04
605	9.176E-04
606	9.206E-04
607	9.236E-04
608	9.265E-04
609	9.295E-04
610	9.326E-04
611	9.356E-04
612	9.387E-04
613	9.417E-04
614	9.447E-04
615	9.477E-04
616	9.506E-04
617	9.535E-04
618	9.567E-04
619	9.599E-04
620	9.630E-04
621	9.661E-04
622	9.691E-04
623	9.722E-04
624	9.752E-04
625	9.783E-04
626	9.815E-04
627	9.846E-04
628	9.876E-04
629	9.907E-04
630	9.938E-04
631	9.969E-04
632	1.000E-03
633	1.003E-03
634	1.006E-03
635	1.010E-03
636	1.013E-03
637	1.016E-03
638	1.019E-03
639	1.022E-03
640	1.026E-03
641	1.029E-03
642	1.032E-03
643	1.035E-03
644	1.038E-03
645	1.041E-03
646	1.044E-03
647	1.048E-03
648	1.051E-03
649	1.054E-03
650	1.057E-03
651	1.060E-03
652	1.063E-03
653	1.067E-03
654	1.070E-03
655	1.073E-03
656	1.076E-03
657	1.079E-03
658	1.083E-03
659	1.086E-03
660	1.089E-03
661	1.092E-03
662	1.096E-03
663	1.099E-03
664	1.102E-03
665	1.105E-03
666	1.109E-03
667	1.112E-03
668	1.115E-03
669	1.118E-03
670	1.122E-03
671	1.125E-03
672	1.128E-03
673	1.131E-03
674	1.135E-03
675	1.138E-03
676	1.141E-03
677	1.145E-03
678	1.148E-03
679	1.151E-03
680	1.155E-03
681	1.158E-03
682	1.161E-03
683	1.165E-03
684	1.168E-03
685	1.172E-03
686	1.176E-03
687	1.179E-03
688	1.182E-03
689	1.186E-03
690	1.189E-03
691	1.192E-03
692	1.196E-03
693	1.199E-03
694	1.203E-03
695	1.206E-03
696	1.209E-03
697	1.213E-03
698	1.216E-03
699	1.220E-03
700	1.223E-03
701	1.226E-03
702	1.230E-03
703	1.233E-03
704	1.237E-03
705	1.240E-03
706	1.243E-03
707	1.247E-03
708	1.250E-03
709	1.254E-03
710	1.257E-03
711	1.261E-03
712	1.264E-03
713	1.268E-03
714	1.271E-03
715	1.275E-03
716	1.278E-03
717	1.282E-03
718	1.285E-03
719	1.289E-03
720	1.292E-03
721	1.296E-03
722	1.299E-03
723	1.303E-03
724	1.306E-03
725	1.310E-03
726	1.313E-03
727	1.317E-03
728	1.320E-03
729	1.324E-03
730	1.327E-03
731	1.331E-03
732	1.335E-03
733	1.339E-03
734	1.343E-03
735	1.346E-03
736	1.350E-03
737	1.353E-03
738	1.357E-03
739	1.360E-03
740	1.364E-03
741	1.368E-03
742	1.371E-03
743	1.375E-03
744	1.378E-03
745	1.382E-03
746	1.386E-03
747	1.389E-03
748	1.393E-03
749	1.396E-03
750	1.400E-03
751	1.404E-03
752	1.407E-03
753	1.411E-03
754	1.415E-03
755	1.418E-03
756	1.422E-03
