Fri, 28 Aug 1998 17:04:39 -0300 (ADT)
File: abs_xsx_H2OH2O_TGC98.txt
These are the data Bill Tso sent me after much correspondence.
These are the raw data which were used in TGC98. The figure in
TGC98 was prepared by taking these data and smoothing them with
a Fourier filter as explained in his previous correspondence.
These data differ significant from the original dataset Petr Chylek
sent me. Those data extended all the way to ~23000 cm-1, and the peaks
were in different locations.





Wavenumber in cm^{-1} for the first column and
absorption cross-section in 10^{-20} cm^2 for
the second column.

 3.007518768 0.0000000000E+00
 6.015037537 0.0000000000E+00
 9.022556305 0.1149560958
 12.03007507 0.1434850246
 15.03759384 0.3051831126
 18.04511261 0.2971764207
 21.05263138 0.4182693064
 24.06015015 0.3936986625
 27.06766891 0.5083085299
 30.07518768 0.5088468790
 33.08270645 0.6528099775
 36.09022522 0.6780533195
 39.09774399 0.8475825191
 42.10526276 0.8804201484
 45.11278152 1.061898470
 48.12030029 1.091686368
 51.12781906 1.275862575
 54.13533783 1.298082471
 57.14285660 1.479093194
 60.15037537 1.491724491
 63.15789413 1.665624142
 66.16541290 1.668144345
 69.17292786 1.833147287
 72.18045044 1.826758504
 75.18797302 1.984114408
 78.19548798 1.971956015
 81.20300293 2.126983166
 84.21052551 2.115488768
 87.21804810 2.279017925
 90.22556305 2.281533957
 93.23307800 2.462157726
 96.24060059 2.491757631
 99.24812317 2.710132599
 102.2556381 2.807136774
 105.2631531 3.140511036
 108.2706757 3.378909826
 111.2781982 3.933121204
 114.2857132 4.396419525
 117.2932281 5.356053352
 120.3007507 6.300323486
 123.3082733 7.680119514
 126.3157883 8.049599648
 129.3233032 8.006999969
 132.3308258 7.068289757
 135.3383484 6.460655689
 138.3458557 5.565221786
 141.3533783 5.047749043
 144.3609009 4.388599873
 147.3684235 4.033892632
 150.3759460 3.600599051
 153.3834534 3.408450365
 156.3909760 3.148093224
 159.3984985 3.071114302
 162.4060059 2.915699720
 165.4135284 2.902443171
 168.4210510 2.800467730
 171.4285736 2.814294338
 174.4360962 2.732143402
 177.4436035 2.747927427
 180.4511261 2.664603710
 183.4586487 2.668791771
 186.4661560 2.577714443
 189.4736786 2.570407152
 192.4812012 2.476691484
 195.4887238 2.465391874
 198.4962463 2.377606153
 201.5037537 2.370257378
 204.5112762 2.295475721
 207.5187988 2.298150539
 210.5263062 2.240518332
 213.5338287 2.257467270
 216.5413513 2.219856262
 219.5488739 2.256539822
 222.5563965 2.244383812
 225.5639038 2.309559107
 228.5714264 2.329508305
 231.5789490 2.428646803
 234.5864563 2.477094650
 237.5939789 2.594946146
 240.6015015 2.635884047
 243.6090240 2.713770390
 246.6165466 2.676208258
 249.6240540 2.649520874
 252.6315765 2.509081602
 255.6390991 2.395545483
 258.6466064 2.208792686
 261.6541443 2.072822094
 264.6616516 1.896906853
 267.6691589 1.779167652
 270.6766968 1.637638569
 273.6842041 1.550486803
 276.6917114 1.444974899
 279.6992493 1.385876656
 282.7067566 1.308629990
 285.7142944 1.269413710
 288.7218018 1.210408926
 291.7293091 1.182249784
 294.7368469 1.132703662
 297.7443542 1.108570814
 300.7518921 1.062568307
 303.7593994 1.038376570
 306.7669067 0.9932531118
 309.7744446 0.9679285288
 312.7819519 0.9237767458
 315.7894592 0.8984233141
 318.7969971 0.8568512797
 321.8045044 0.8331607580
 324.8120117 0.7951980829
 327.8195496 0.7739698291
 330.8270569 0.7402659655
 333.8345947 0.7222397923
 336.8421021 0.6928413510
