This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 20 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 10 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added first line of flux = 49980 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
4740.0	0.42845E-01
4760.0	0.43050E-01
4780.0	0.43045E-01
4800.0	0.43470E-01
4820.0	0.43955E-01
4840.0	0.44065E-01
4860.0	0.44440E-01
4880.0	0.44875E-01
4900.0	0.44935E-01
4920.0	0.45045E-01
4940.0	0.45500E-01
4960.0	0.46230E-01
4980.0	0.46375E-01
5000.0	0.46455E-01
5020.0	0.46795E-01
5040.0	0.46730E-01
5060.0	0.46785E-01
5080.0	0.47690E-01
5100.0	0.47715E-01
5120.0	0.47695E-01
5140.0	0.45785E-01
5160.0	0.48500E-01
5180.0	0.48405E-01
5200.0	0.49370E-01
5220.0	0.49780E-01
5240.0	0.50000E-01
5260.0	0.50050E-01
5280.0	0.49230E-01
5300.0	0.50450E-01
5320.0	0.49625E-01
5340.0	0.48610E-01
5360.0	0.51150E-01
5380.0	0.51700E-01
5400.0	0.52600E-01
5420.0	0.51950E-01
5440.0	0.52950E-01
5460.0	0.53200E-01
5480.0	0.53150E-01
5500.0	0.51250E-01
5520.0	0.54250E-01
5540.0	0.54450E-01
5560.0	0.55000E-01
5580.0	0.55300E-01
5600.0	0.55550E-01
5620.0	0.55450E-01
5640.0	0.56250E-01
5660.0	0.56500E-01
5680.0	0.56450E-01
5700.0	0.56950E-01
5720.0	0.56450E-01
5740.0	0.56900E-01
5760.0	0.54550E-01
5780.0	0.57700E-01
5800.0	0.57800E-01
5820.0	0.58850E-01
5840.0	0.58700E-01
5860.0	0.59250E-01
5880.0	0.59500E-01
5900.0	0.60450E-01
5920.0	0.59950E-01
5940.0	0.58450E-01
5960.0	0.59400E-01
5980.0	0.60850E-01
6000.0	0.61100E-01
6020.0	0.62000E-01
6040.0	0.62050E-01
6060.0	0.61800E-01
6080.0	0.61250E-01
6100.0	0.60100E-01
6120.0	0.62950E-01
6140.0	0.63700E-01
6160.0	0.63000E-01
6180.0	0.61900E-01
6200.0	0.62600E-01
6220.0	0.63000E-01
6240.0	0.63300E-01
